turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,sellQty,buyQty,buyVolUsd,sellVolUsd,volUsd
9.0,2.0,7.0,0,0,4029.13578,19961.6016,23990.73738
15.0,8.0,7.0,0,0,45176.23909,86395.77249,131572.01158
126.0,4.0,122.0,0,0,42969.19816,1675981.49239718,1718950.69055718
7.0,5.0,2.0,0,0,4903.05028,4477.8674,9380.91768
3.0,1.0,2.0,0,0,177.632,4743.33232,4920.96432
8.0,8.0,0.0,0,0,23129.34001,0.0,23129.34001
2.0,0.0,2.0,0,0,0.0,17918.49852,17918.49852
22.0,21.0,1.0,0,0,45304.23927,5698.112,51002.35127
14.0,13.0,1.0,0,0,55469.22701,8900.15,64369.37701
54.0,54.0,0.0,0,0,351075.88908,0.0,351075.88908
33.0,33.0,0.0,0,0,102495.948545,0.0,102495.948545
6.0,0.0,6.0,0,0,0.0,1205.97204,1205.97204
27.0,25.0,2.0,0,0,84227.68748,2243.0828,86470.77028
70.0,70.0,0.0,0,0,359446.62019693,0.0,359446.62019693
37.0,32.0,5.0,0,0,596378.51878,35380.86144,631759.38022
43.0,32.0,11.0,0,0,924421.06609,66558.15982,990979.22591
19.0,9.0,10.0,0,0,26797.26388,25262.23754,52059.50142
15.0,0.0,15.0,0,0,0.0,14304.47979,14304.47979
143.0,114.0,29.0,0,0,796701.66679975,536704.2257,1333405.89249975
12.0,4.0,8.0,0,0,2694.43192,54383.63740412,57078.06932412
28.0,0.0,28.0,0,0,0.0,457687.70718,457687.70718
2.0,2.0,0.0,0,0,2696.093,0.0,2696.093
46.0,28.0,18.0,0,0,471093.00024,106349.30454,577442.30478
85.0,84.0,1.0,0,0,456511.55932603,1075.3015,457586.86082603
40.0,1.0,39.0,0,0,635.59284,203455.49822157,204091.09106157
25.0,1.0,24.0,0,0,3587.84,437884.00791,441471.84791
6.0,3.0,3.0,0,0,731.8376,2282.74282,3014.58042
118.0,0.0,118.0,0,0,0.0,1603861.17099,1603861.17099
8.0,4.0,4.0,0,0,1385.80889,8152.02432,9537.83321
2.0,2.0,0.0,0,0,265.97616,0.0,265.97616
11.0,4.0,7.0,0,0,18140.68583,17870.22357,36010.9094
35.0,8.0,27.0,0,0,9724.64095,290869.65443,300594.29538
37.0,26.0,11.0,0,0,347510.28272,117140.21665,464650.49937
266.0,256.0,10.0,0,0,3173373.72409,48420.14726,3221793.87135
118.0,105.0,13.0,0,0,1394053.833,52487.79568,1446541.62868
60.0,16.0,44.0,0,0,13000.71984,972894.92426,985895.6441
24.0,16.0,8.0,0,0,22991.80204,71139.1284,94130.93044
90.0,34.0,56.0,0,0,164907.85614,479528.36229805,644436.21843805
61.0,46.0,15.0,0,0,100704.36457,938033.2479171,1038737.6124871
130.0,88.0,42.0,0,0,699485.8852512,1137452.45706,1836938.3423112
14.0,6.0,8.0,0,0,3695.27005,941250.4914,944945.76145
49.0,0.0,49.0,0,0,0.0,1930145.90277,1930145.90277
